query,status,ms,results
q00001.rq,ERROR,1318.4,0
q00002.rq,ERROR,1304.1,0
q00003.rq,OK,1.4,0
q00004.rq,ERROR,1312.9,0
q00005.rq,ERROR,1295.1,0
q00006.rq,ERROR,1309.4,0
q00007.rq,OK,1.3,0
q00008.rq,ERROR,1470.1,0
q00009.rq,OK,1.4,0
q00010.rq,ERROR,1468.5,0
q00011.rq,ERROR,1461.2,0
q00012.rq,OK,1589.4,0
q00013.rq,ERROR,1506.3,0
q00014.rq,ERROR,1328.2,0
q00015.rq,ERROR,1316.7,0
q00016.rq,ERROR,1325.5,0
q00017.rq,OK,0.8,140
q00018.rq,OK,28.0,24598
q00019.rq,ERROR,1301.6,0
q00020.rq,ERROR,1321.5,0
q00021.rq,ERROR,1321.0,0
q00022.rq,ERROR,1466.8,0
q00023.rq,ERROR,1502.2,0
q00024.rq,ERROR,1486.7,0
q00025.rq,ERROR,1325.1,0
q00026.rq,ERROR,1315.7,0
q00027.rq,ERROR,1325.8,0
q00028.rq,ERROR,1321.0,0
q00029.rq,ERROR,1319.6,0
q00030.rq,ERROR,1324.9,0
q00031.rq,ERROR,1316.0,0
q00032.rq,ERROR,1323.4,0
q00033.rq,ERROR,1310.5,0
q00034.rq,OK,71.5,83067
q00035.rq,ERROR,1304.1,0
q00036.rq,ERROR,1319.3,0
q00037.rq,ERROR,1323.3,0
q00038.rq,ERROR,1455.6,0
q00039.rq,ERROR,1334.1,0
q00040.rq,ERROR,1332.3,0
q00041.rq,ERROR,1505.6,0
q00042.rq,ERROR,1379.5,0
q00043.rq,ERROR,1324.7,0
q00044.rq,ERROR,1455.6,0
q00045.rq,ERROR,1325.3,0
q00046.rq,ERROR,1296.2,0
q00047.rq,OK,136.1,100000
q00048.rq,OK,1.6,0
q00049.rq,ERROR,1317.6,0
q00050.rq,ERROR,1311.4,0
q00051.rq,OK,1.6,0
q00052.rq,ERROR,1305.9,0
q00053.rq,ERROR,1315.7,0
q00054.rq,ERROR,1314.0,0
q00055.rq,OK,1.5,0
q00056.rq,OK,1.3,0
q00057.rq,OK,1.2,0
q00058.rq,ERROR,1311.2,0
q00059.rq,ERROR,1303.3,0
q00060.rq,ERROR,1295.3,0
q00061.rq,ERROR,1471.5,0
q00062.rq,OK,1.6,0
q00063.rq,ERROR,1311.2,0
q00064.rq,ERROR,1296.8,0
q00065.rq,ERROR,1301.0,0
q00066.rq,ERROR,1313.4,0
q00067.rq,ERROR,1445.5,0
q00068.rq,ERROR,1321.9,0
q00069.rq,OK,0.6,0
q00070.rq,OK,1.7,0
q00071.rq,ERROR,1292.7,0
q00072.rq,ERROR,1291.6,0
q00073.rq,ERROR,1305.6,0
q00074.rq,OK,1.5,0
q00075.rq,ERROR,1306.7,0
q00076.rq,ERROR,1319.1,0
q00077.rq,ERROR,1317.5,0
q00078.rq,ERROR,1298.3,0
q00079.rq,ERROR,1312.9,0
q00080.rq,ERROR,1293.0,0
q00081.rq,ERROR,1314.9,0
q00082.rq,ERROR,1304.2,0
q00083.rq,ERROR,1308.8,0
q00084.rq,ERROR,1317.8,0
q00085.rq,ERROR,1312.0,0
q00086.rq,ERROR,1311.2,0
q00087.rq,ERROR,1298.9,0
q00088.rq,ERROR,1306.3,0
q00089.rq,OK,0.5,0
q00090.rq,OK,20.5,9463
q00091.rq,OK,14.0,14027
q00092.rq,ERROR,1478.0,0
q00093.rq,ERROR,1317.6,0
q00094.rq,ERROR,1306.2,0
q00095.rq,OK,1.6,0
q00096.rq,ERROR,1306.4,0
q00097.rq,ERROR,1311.4,0
q00098.rq,OK,1.3,0
q00099.rq,OK,1.3,0
q00100.rq,OK,1.2,0
q00101.rq,ERROR,1312.5,0
q00102.rq,OK,1.3,0
q00103.rq,ERROR,1306.9,0
q00104.rq,ERROR,1328.6,0
q00105.rq,ERROR,1492.1,0
q00106.rq,OK,131.9,0
q00107.rq,OK,819.7,0
q00108.rq,OK,660.7,0
q00109.rq,OK,651.0,0
q00110.rq,OK,645.5,0
q00111.rq,OK,659.7,0
q00112.rq,OK,644.4,0
q00113.rq,OK,649.4,0
q00114.rq,OK,659.5,0
q00115.rq,OK,649.7,0
q00116.rq,OK,646.1,0
q00117.rq,OK,669.9,0
q00118.rq,OK,647.7,0
q00119.rq,OK,649.7,0
q00120.rq,OK,3721.4,0
q00121.rq,OK,198.3,100000
q00122.rq,OK,1367.8,0
q00123.rq,OK,31952.2,0
q00124.rq,OK,31902.9,0
q00125.rq,OK,33740.0,0
q00126.rq,OK,33008.5,0
q00127.rq,OK,32233.3,0
q00128.rq,OK,4812.7,0
q00129.rq,OK,32685.5,0
q00130.rq,OK,3330.6,0
q00131.rq,OK,4416.3,0
q00132.rq,OK,32469.5,0
q00133.rq,OK,31076.8,0
q00134.rq,OK,1.8,0
q00135.rq,OK,13034.0,0
q00136.rq,OK,241.3,0
q00137.rq,OK,508.9,0
q00138.rq,ERROR,699.3,0
q00139.rq,OK,5.7,0
q00140.rq,OK,199.6,0
q00141.rq,OK,461.9,100000
q00142.rq,OK,7528.0,0
q00143.rq,ERROR,15766.3,0
q00144.rq,OK,966.1,0
q00145.rq,OK,4135.6,0
q00146.rq,OK,4142.9,0
q00147.rq,ERROR,1502.0,0
q00148.rq,OK,6159.0,0
q00149.rq,OK,564.9,0
q00150.rq,ERROR,16330.1,0
q00151.rq,ERROR,9509.6,0
q00152.rq,ERROR,1877.2,0
q00153.rq,OK,39.5,0
q00154.rq,OK,581.0,0
q00155.rq,OK,575.6,0
q00156.rq,OK,580.0,0
q00157.rq,OK,583.2,0
q00158.rq,OK,986.2,0
q00159.rq,OK,602.7,0
q00160.rq,OK,565.0,0
q00161.rq,OK,597.4,0
q00162.rq,ERROR,2684.7,0
q00163.rq,ERROR,2661.0,0
q00164.rq,OK,656.4,0
q00165.rq,OK,654.5,0
q00166.rq,OK,712.6,0
q00167.rq,OK,552.4,0
q00168.rq,OK,7.5,0
q00169.rq,OK,765.4,0
q00170.rq,ERROR,1804.7,0
q00171.rq,OK,504.5,0
q00172.rq,OK,639.9,0
q00173.rq,ERROR,1531.3,0
q00174.rq,ERROR,1512.7,0
q00175.rq,ERROR,1530.2,0
q00176.rq,ERROR,29987.7,0
q00177.rq,ERROR,354.5,0
q00178.rq,ERROR,409.0,0
q00179.rq,ERROR,685.5,0
q00180.rq,ERROR,14072.2,0
q00181.rq,OK,331.0,0
q00182.rq,OK,14.5,0
q00183.rq,ERROR,945.9,0
q00184.rq,ERROR,799.6,0
q00185.rq,OK,199.8,0
q00186.rq,OK,5.0,0
q00187.rq,OK,225.3,0
q00188.rq,OK,3.2,0
q00189.rq,OK,319.4,0
q00190.rq,OK,54.5,0
q00191.rq,OK,0.5,0
q00192.rq,ERROR,1533.5,0
q00193.rq,OK,6.0,0
q00194.rq,OK,7131.0,0
q00195.rq,OK,7067.1,0
q00196.rq,OK,7035.8,0
q00197.rq,OK,12560.8,0
q00198.rq,OK,298.2,0
q00199.rq,OK,2956.7,0
q00200.rq,OK,460.8,0
q00201.rq,OK,475.1,0
q00202.rq,OK,461.4,0
q00203.rq,OK,744.7,0
q00204.rq,OK,8869.7,0
q00205.rq,OK,144.2,0
q00206.rq,OK,7206.5,0
q00207.rq,OK,7168.0,0
q00208.rq,OK,7203.5,0
q00209.rq,OK,7182.2,0
q00210.rq,OK,7117.3,0
q00211.rq,OK,7178.3,0
q00212.rq,OK,7245.0,0
q00213.rq,OK,7190.9,0
q00214.rq,OK,7247.4,0
q00215.rq,OK,7256.9,0
q00216.rq,OK,7234.1,0
q00217.rq,ERROR,7296.9,0
q00218.rq,ERROR,23200.6,0
q00219.rq,ERROR,23144.4,0
q00220.rq,ERROR,23279.6,0
q00221.rq,ERROR,23212.9,0
q00222.rq,OK,4865.3,0
q00223.rq,ERROR,1427.1,0
q00224.rq,OK,5.2,0
q00225.rq,ERROR,25909.3,0
q00226.rq,OK,2.4,0
q00227.rq,ERROR,8667.4,0
q00228.rq,OK,1.7,0
q00229.rq,ERROR,629.9,0
q00230.rq,OK,10.5,0
q00231.rq,OK,1.4,0
q00232.rq,ERROR,1509.0,0
q00233.rq,OK,2070.9,0
q00234.rq,OK,3.8,0
q00235.rq,OK,58.6,0
q00236.rq,OK,58.0,0
q00237.rq,OK,7.8,0
q00238.rq,OK,8.4,0
q00239.rq,OK,858.2,0
q00240.rq,OK,415.1,0
q00241.rq,OK,2855.8,0
q00242.rq,OK,0.8,0
q00243.rq,ERROR,1349.9,0
q00244.rq,OK,1.6,0
q00245.rq,OK,296.7,0
q00246.rq,OK,232.1,0
q00247.rq,OK,0.7,0
q00248.rq,OK,2030.8,0
q00249.rq,OK,2023.2,0
q00250.rq,OK,1.0,75
q00251.rq,OK,215.1,0
q00252.rq,OK,214.4,0
q00253.rq,OK,8.7,0
q00254.rq,OK,175.4,0
q00255.rq,OK,2.9,0
q00256.rq,OK,86.7,0
q00257.rq,OK,95.2,0
q00258.rq,OK,303.5,0
